nom de l'image ,date ,jaune ,rouge ,bleu ,vert ,marron ,orange ,total lignes :
836,11/02/2019,6,2,9,2,1,2,22
836,11/02/2019,6,2,9,2,1,2,22
837,12/02/2019,1,2,3,3,2,5,16
837,12/02/2019,1,2,3,3,2,5,16
840,28/02/2019,4,3,0,4,4,5,20
840,28/02/2019,4,3,0,4,4,5,20
852,01/04/2019,4,2,6,2,3,2,19
852,01/04/2019,4,2,6,2,3,2,19
853,03/04/2019,3,0,6,0,6,3,18
853,03/04/2019,3,0,6,0,6,3,18
854,04/04/2019,5,2,4,4,2,1,18
854,04/04/2019,5,2,4,4,2,1,18
862,23/04/2019,3,1,0,5,2,4,15
862,23/04/2019,3,1,0,5,2,5,16
864,25/04/2019,3,0,4,6,3,3,19
864,25/04/2019,3,0,4,6,3,3,19
866,29/04/2019,4,2,2,2,4,4,18
866,29/04/2019,5,2,2,2,4,5,20
868,30/04/2019,3,1,8,0,2,4,18
868,30/04/2019,3,1,8,0,2,5,19
869,06/05/2019,6,3,2,3,3,3,20
869,06/05/2019,6,3,2,3,3,3,20
870,07/05/2019,2,2,2,6,2,5,19
870,07/05/2019,2,2,3,6,2,5,20
880,27/05/2019,5,1,4,3,4,1,18
880,27/05/2019,5,1,4,3,4,1,18
881,29/05/2019,1,2,8,1,3,3,18
881,29/05/2019,1,2,8,1,3,3,18
882,06/06/2019,1,6,2,4,4,1,18
882,06/06/2019,1,6,2,4,4,1,18
886,11/06/2019,2,3,3,4,3,3,18
886,11/06/2019,2,3,3,4,3,3,18
891,19/06/2019,2,5,6,2,1,3,19
891,19/06/2019,2,5,6,2,1,3,19
892,20/06/2019,5,4,4,0,4,2,19
892,20/06/2019,5,4,4,0,4,2,19
893,21/06/2019,1,2,5,4,1,6,19
893,21/06/2019,1,2,5,4,1,6,19
898,25/06/2019,4,2,2,3,1,5,17
898,25/06/2019,4,2,2,3,1,5,17
959,06/09/2019,2,5,4,1,4,2,18
959,06/09/2019,2,5,4,1,4,2,18
981,21/11/2019,2,4,1,5,3,5,20
981,21/11/2019,2,4,1,5,4,5,21
993,09/01/2020,1,4,5,1,4,6,21
993,09/01/2020,1,4,5,1,4,6,21
996,16/01/2020,7,3,3,4,2,2,21
1003,22/01/2020,3,2,5,4,3,2,19
1004,27/01/2020,12,1,2,2,1,3,21
1005,28/01/2020,4,6,4,1,1,4,20
1006,29/01/2020,6,0,9,1,2,3,21
1006,29/01/2020,6,0,9,1,2,3,21
1007,30/01/2020,3,5,6,2,2,2,20
1008,03/02/2020,6,3,2,3,2,4,20
1009,04/02/2020,6,2,4,1,3,4,20
1011,05/02/2020,2,4,2,5,4,2,19
1012,06/02/2020,5,2,5,1,1,6,20
1013,10/02/2020,2,3,5,4,2,2,18
1014,11/02/2020,2,3,4,4,2,4,19
1015,12/02/2020,5,4,3,0,1,5,18
1017,13/02/2020,3,1,4,2,3,5,18
1018,14/02/2020,4,2,2,5,2,4,19
1019,17/02/2020,3,5,2,3,1,3,17
1020,19/02/2020,2,4,4,2,3,5,20
1021,20/02/2020,3,1,2,5,0,7,18
1022,21/02/2020,3,5,3,2,3,6,22
